Pattern,Pattern Description,Key Concepts,Quest ID,Quest Title,Difficulty,Link,Category
Sliding Window,,,RESEARCH_NEEDED,Add Optional Practice Problems...,,,Optional
Prefix Sum,Pre-computing cumulative sums to answer range queries in O(1).,Range Sum; Running Total; Subarray Sum Equals K,product_except_self,Product of Array Except Self,medium,https://leetcode.com/problems/product-of-array-except-self/,Essential
Prefix Sum,,,RESEARCH_NEEDED,Add Optional Practice Problems...,,,Optional
Stack,"LIFO (Last-In-First-Out) structure. Good for parsing, nested structures, and backtracking.",LIFO; Monotonic Stack; Parentheses Matching; DFS Helper,valid_parentheses,Valid Parentheses,easy,https://leetcode.com/problems/valid-parentheses/,Essential
Stack,"LIFO (Last-In-First-Out) structure. Good for parsing, nested structures, and backtracking.",LIFO; Monotonic Stack; Parentheses Matching; DFS Helper,daily_temperatures,Daily Temperatures,medium,https://leetcode.com/problems/daily-temperatures/,Essential
Stack,"LIFO (Last-In-First-Out) structure. Good for parsing, nested structures, and backtracking.",LIFO; Monotonic Stack; Parentheses Matching; DFS Helper,min_stack,Min Stack,medium,https://leetcode.com/problems/min-stack/,Essential
Stack,,,RESEARCH_NEEDED,Add Optional Practice Problems...,,,Optional
Linked List,Nodes with pointers. Mastery requires pointer manipulation without losing references.,Dummy Node; Fast/Slow Pointers; Reversal; Merge,merge_two_sorted_lists,Merge Two Sorted Lists,easy,https://leetcode.com/problems/merge-two-sorted-lists/,Essential
Linked List,Nodes with pointers. Mastery requires pointer manipulation without losing references.,Dummy Node; Fast/Slow Pointers; Reversal; Merge,reverse_linked_list,Reverse Linked List,easy,https://leetcode.com/problems/reverse-linked-list/,Essential
Linked List,,,RESEARCH_NEEDED,Add Optional Practice Problems...,,,Optional
Fast & Slow Pointers,Cycle detection and finding middle elements in linked lists or arrays.,Cycle Detection (Floyd's); Middle Finding; Happy Number,linked_list_cycle,Linked List Cycle,easy,https://leetcode.com/problems/linked-list-cycle/,Essential
Fast & Slow Pointers,,,RESEARCH_NEEDED,Add Optional Practice Problems...,,,Optional
Binary Search,O(log N) search on sorted data or search spaces.,Search Space Reduction; Lower/Upper Bound; Rotated Arrays; Answer Range,binary_search,Binary Search,easy,https://leetcode.com/problems/binary-search/,Essential
Binary Search,O(log N) search on sorted data or search spaces.,Search Space Reduction; Lower/Upper Bound; Rotated Arrays; Answer Range,find_min_rotated_sorted_array,Find Minimum in Rotated Sorted Array,medium,https://leetcode.com/problems/find-minimum-in-rotated-sorted-array/,Essential
Binary Search,O(log N) search on sorted data or search spaces.,Search Space Reduction; Lower/Upper Bound; Rotated Arrays; Answer Range,search_rotated_array,Search in Rotated Sorted Array,medium,https://leetcode.com/problems/search-in-rotated-sorted-array/,Essential
Binary Search,,,RESEARCH_NEEDED,Add Optional Practice Problems...,,,Optional
Heap / Priority Queue,O(1) access to min/max element. O(log N) insert/delete.,Min/Max Heap; Top K Elements; K-way Merge,k_closest_points,K Closest Points to Origin,medium,https://leetcode.com/problems/k-closest-points-to-origin/,Essential
Heap / Priority Queue,O(1) access to min/max element. O(log N) insert/delete.,Min/Max Heap; Top K Elements; K-way Merge,kth_largest,Kth Largest Element in an Array,medium,https://leetcode.com/problems/kth-largest-element-in-an-array/,Essential
Heap / Priority Queue,O(1) access to min/max element. O(log N) insert/delete.,Min/Max Heap; Top K Elements; K-way Merge,top_k_frequent,Top K Frequent Elements,medium,https://leetcode.com/problems/top-k-frequent-elements/,Essential
Heap / Priority Queue,,,RESEARCH_NEEDED,Add Optional Practice Problems...,,,Optional
Two Heaps,"Using a Min-Heap and Max-Heap together, often to track median.",Median Finding; Balancing Heaps,find_median_stream,Find Median from Data Stream,hard,https://leetcode.com/problems/find-median-from-data-stream/,Essential
Two Heaps,"Using a Min-Heap and Max-Heap together, often to track median.",Median Finding; Balancing Heaps,sliding_window_median,Sliding Window Median,hard,https://leetcode.com/problems/sliding-window-median/,Essential
Two Heaps,,,RESEARCH_NEEDED,Add Optional Practice Problems...,,,Optional
Breadth-First Search,Level-by-level traversal. Best for shortest paths in unweighted graphs.,Queue; Level Tracking; Shortest Path; Connected Components,binary_tree_level_order,Binary Tree Level Order Traversal,medium,https://leetcode.com/problems/binary-tree-level-order-traversal/,Essential
Breadth-First Search,Level-by-level traversal. Best for shortest paths in unweighted graphs.,Queue; Level Tracking; Shortest Path; Connected Components,word_ladder,Word Ladder,hard,https://leetcode.com/problems/word-ladder/,Essential
Breadth-First Search,,,RESEARCH_NEEDED,Add Optional Practice Problems...,,,Optional
Depth-First Search,"Deep traversal. Best for exhaustive search, tree properties, and backtracking.",Recursion; Stack; Path Finding; Tree Properties,diameter_binary_tree,Diameter of Binary Tree,easy,https://leetcode.com/problems/diameter-of-binary-tree/,Essential
Depth-First Search,"Deep traversal. Best for exhaustive search, tree properties, and backtracking.",Recursion; Stack; Path Finding; Tree Properties,lowest_common_ancestor,Lowest Common Ancestor of a Binary Tree,medium,https://leetcode.com/problems/lowest-common-ancestor-of-a-binary-tree/,Essential
Depth-First Search,"Deep traversal. Best for exhaustive search, tree properties, and backtracking.",Recursion; Stack; Path Finding; Tree Properties,number_of_islands,Number of Islands,medium,https://leetcode.com/problems/number-of-islands/,Essential
Depth-First Search,"Deep traversal. Best for exhaustive search, tree properties, and backtracking.",Recursion; Stack; Path Finding; Tree Properties,path_sum_ii,Path Sum II,medium,https://leetcode.com/problems/path-sum-ii/,Essential
Depth-First Search,"Deep traversal. Best for exhaustive search, tree properties, and backtracking.",Recursion; Stack; Path Finding; Tree Properties,validate_bst,Validate Binary Search Tree,medium,https://leetcode.com/problems/validate-binary-search-tree/,Essential
Depth-First Search,,,RESEARCH_NEEDED,Add Optional Practice Problems...,,,Optional
Backtracking,DFS with state management (Choose-Explore-Unchoose). Generates all possibilities.,Combinations; Permutations; Subsets; Pruning,combination_sum,Combination Sum,medium,https://leetcode.com/problems/combination-sum/,Essential
Backtracking,DFS with state management (Choose-Explore-Unchoose). Generates all possibilities.,Combinations; Permutations; Subsets; Pruning,permutations,Permutations,medium,https://leetcode.com/problems/permutations/,Essential
Backtracking,DFS with state management (Choose-Explore-Unchoose). Generates all possibilities.,Combinations; Permutations; Subsets; Pruning,subsets,Subsets,medium,https://leetcode.com/problems/subsets/,Essential
Backtracking,,,RESEARCH_NEEDED,Add Optional Practice Problems...,,,Optional
Merge Intervals,Handling overlapping intervals. Usually requires sorting by start time first.,Sorting; Overlap Detection; Merging; Insertion,insert_interval,Insert Interval,medium,https://leetcode.com/problems/insert-interval/,Essential
Merge Intervals,Handling overlapping intervals. Usually requires sorting by start time first.,Sorting; Overlap Detection; Merging; Insertion,meeting_rooms_ii,Meeting Rooms II,medium,https://leetcode.com/problems/meeting-rooms-ii/,Essential
Merge Intervals,Handling overlapping intervals. Usually requires sorting by start time first.,Sorting; Overlap Detection; Merging; Insertion,merge_intervals,Merge Intervals,medium,https://leetcode.com/problems/merge-intervals/,Essential
Merge Intervals,,,RESEARCH_NEEDED,Add Optional Practice Problems...,,,Optional
Cyclic Sort,Sorting arrays containing numbers in range 1 to N in O(N) time.,In-place Swap; Missing Number; Duplicate Finding,find_missing_number,Find the Missing Number,easy,https://leetcode.com/problems/missing-number/,Essential
Cyclic Sort,Sorting arrays containing numbers in range 1 to N in O(N) time.,In-place Swap; Missing Number; Duplicate Finding,find_duplicate_number,Find the Duplicate Number,medium,https://leetcode.com/problems/find-the-duplicate-number/,Essential
Cyclic Sort,,,RESEARCH_NEEDED,Add Optional Practice Problems...,,,Optional
Topological Sort,Linear ordering of vertices in a DAG. Used for dependency resolution.,Kahn's Algorithm (BFS); DFS Post-order; Cycle Detection,course_schedule,Course Schedule,medium,https://leetcode.com/problems/course-schedule/,Essential
Topological Sort,,,RESEARCH_NEEDED,Add Optional Practice Problems...,,,Optional
Union Find (Disjoint Set),Efficiently tracking connected components and cycles.,Find with Path Compression; Union by Rank; Connected Components,number_of_provinces,Number of Provinces,medium,https://leetcode.com/problems/number-of-provinces/,Essential
Union Find (Disjoint Set),Efficiently tracking connected components and cycles.,Find with Path Compression; Union by Rank; Connected Components,redundant_connection,Redundant Connection,medium,https://leetcode.com/problems/redundant-connection/,Essential
Union Find (Disjoint Set),,,RESEARCH_NEEDED,Add Optional Practice Problems...,,,Optional
Dijkstra's Algorithm,Shortest path in weighted graphs.,Priority Queue; Relaxation; Shortest Path,network_delay_time,Network Delay Time,medium,https://leetcode.com/problems/network-delay-time/,Essential
Dijkstra's Algorithm,,,RESEARCH_NEEDED,Add Optional Practice Problems...,,,Optional
Dynamic Programming,Breaking problems into overlapping subproblems with optimal substructure.,Memoization; Tabulation; 1D Recurrence; 2D Grid/Sequence,climbing_stairs,Climbing Stairs,easy,https://leetcode.com/problems/climbing-stairs/,Essential
Dynamic Programming,Breaking problems into overlapping subproblems with optimal substructure.,Memoization; Tabulation; 1D Recurrence; 2D Grid/Sequence,coin_change,Coin Change,medium,https://leetcode.com/problems/coin-change/,Essential
Dynamic Programming,Breaking problems into overlapping subproblems with optimal substructure.,Memoization; Tabulation; 1D Recurrence; 2D Grid/Sequence,house_robber,House Robber,medium,https://leetcode.com/problems/house-robber/,Essential
Dynamic Programming,Breaking problems into overlapping subproblems with optimal substructure.,Memoization; Tabulation; 1D Recurrence; 2D Grid/Sequence,longest_common_subsequence,Longest Common Subsequence,medium,https://leetcode.com/problems/longest-common-subsequence/,Essential
Dynamic Programming,Breaking problems into overlapping subproblems with optimal substructure.,Memoization; Tabulation; 1D Recurrence; 2D Grid/Sequence,maximum_subarray,Maximum Subarray,medium,https://leetcode.com/problems/maximum-subarray/,Essential
Dynamic Programming,,,RESEARCH_NEEDED,Add Optional Practice Problems...,,,Optional
